Categoría,Subcategoria,APLICA EN LAS METAS ACTUALES,Fecha,Manifiesto,Nombre de Residuo,Peso Disposición Final (kg) ,Canal o Mecanismo de recolección,Tipo de Gestión (proceso),certificado ,Gestor ,Centro de acopio,Razón social del generador,Nit,Responsable del envío,Correo ,Dirección,Departamento,Ciudad
2. Electrónica y Equipos de Telecomunicación,2.2 Computadores y equipos periféricos,SI,2024-01-25,9033,SERVER DELL POWEREDGE,45.2,Gestionado por Reconecta,Aprovechamiento,REP-86-9033,Eco Industria SAS,Parque Industrial San Jorge,SPECTRUM BRANDS CORP SAS,800087297-6,LUZ STELLA CELIS,test@spectrumbrands.com,Carrera 7 # 32-16,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.2 Computadores y equipos periféricos,SI,2024-01-25,9033,WORKSTATION HP Z440,18.7,Gestionado por Reconecta,Aprovechamiento,REP-86-9033,Eco Industria SAS,Parque Industrial San Jorge,SPECTRUM BRANDS CORP SAS,800087297-6,LUZ STELLA CELIS,test@spectrumbrands.com,Carrera 7 # 32-16,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.2 Computadores y equipos periféricos,SI,2024-01-25,9033,SWITCH CISCO 24 PUERTOS,8.3,Gestionado por Reconecta,Aprovechamiento,REP-86-9033,Eco Industria SAS,Parque Industrial San Jorge,SPECTRUM BRANDS CORP SAS,800087297-6,LUZ STELLA CELIS,test@spectrumbrands.com,Carrera 7 # 32-16,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.1 Equipos de telefonía,SI,2024-01-25,9309,TELEFONO IP EMPRESARIAL,1.2,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9309,Eco Industria SAS,Parque Industrial San Jorge,SIGNIFY COLOMBIANA SAS,900836968-7,LEONARDO BENAVIDES,test@signify.com,Calle 80 # 10-15,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.1 Equipos de telefonía,SI,2024-01-25,9309,CENTRAL TELEFONICA,12.8,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9309,Eco Industria SAS,Parque Industrial San Jorge,SIGNIFY COLOMBIANA SAS,900836968-7,LEONARDO BENAVIDES,test@signify.com,Calle 80 # 10-15,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.1 Equipos de telefonía,SI,2024-01-25,9309,ROUTER EMPRESARIAL,2.1,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9309,Eco Industria SAS,Parque Industrial San Jorge,SIGNIFY COLOMBIANA SAS,900836968-7,LEONARDO BENAVIDES,test@signify.com,Calle 80 # 10-15,"BOGOTA, D. C.","BOGOTA, D. C."
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-01-25,9310,SISTEMA DE CONFERENCIAS,15.6,Gestionado por Reconecta,Aprovechamiento,REP-86-9310,Eco Industria SAS,Parque Industrial San Jorge,SPECTRUM BRANDS CORP SAS,800087297-6,LUZ STELLA CELIS,test@spectrumbrands.com,Carrera 15 # 93-47,"BOGOTA, D. C.","BOGOTA, D. C."
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-01-25,9310,MICROFONO INALAMBRICO,0.8,Gestionado por Reconecta,Aprovechamiento,REP-86-9310,Eco Industria SAS,Parque Industrial San Jorge,SPECTRUM BRANDS CORP SAS,800087297-6,LUZ STELLA CELIS,test@spectrumbrands.com,Carrera 15 # 93-47,"BOGOTA, D. C.","BOGOTA, D. C."
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-01-25,9310,AMPLIFICADOR PROFESIONAL,25.4,Gestionado por Reconecta,Aprovechamiento,REP-86-9310,Eco Industria SAS,Parque Industrial San Jorge,SPECTRUM BRANDS CORP SAS,800087297-6,LUZ STELLA CELIS,test@spectrumbrands.com,Carrera 15 # 93-47,"BOGOTA, D. C.","BOGOTA, D. C."
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-01-25,9311,IMPRESORA INDUSTRIAL,78.9,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9311,Eco Industria SAS,Parque Industrial San Jorge,MTS CONSULTORIA + GESTION SAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,Avenida El Dorado # 90-10,"BOGOTA, D. C.","BOGOTA, D. C."
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-01-25,9311,CORTADORA DE PAPEL,12.3,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9311,Eco Industria SAS,Parque Industrial San Jorge,MTS CONSULTORIA + GESTION SAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,Avenida El Dorado # 90-10,"BOGOTA, D. C.","BOGOTA, D. C."
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-01-25,9311,ENCUADERNADORA,8.7,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9311,Eco Industria SAS,Parque Industrial San Jorge,MTS CONSULTORIA + GESTION SAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,Avenida El Dorado # 90-10,"BOGOTA, D. C.","BOGOTA, D. C."
1. Aparatos electrodomésticos,1.3 Enseres de refrigeración,SI,2024-01-25,9312,REFRIGERADOR DE OFICINA,35.2,Gestionado por Reconecta,Aprovechamiento,REP-86-9312,Eco Industria SAS,Parque Industrial San Jorge,CENTRO COMERCIAL PORTAL 80,830143447-3,Ana Maria Suarez,test@portal80.com.co,Transversal 100A # 80A-20,"BOGOTA, D. C.","BOGOTA, D. C."
1. Aparatos electrodomésticos,1.3 Enseres de refrigeración,SI,2024-01-25,9312,DISPENSADOR DE AGUA,28.6,Gestionado por Reconecta,Aprovechamiento,REP-86-9312,Eco Industria SAS,Parque Industrial San Jorge,CENTRO COMERCIAL PORTAL 80,830143447-3,Ana Maria Suarez,test@portal80.com.co,Transversal 100A # 80A-20,"BOGOTA, D. C.","BOGOTA, D. C."
1. Aparatos electrodomésticos,1.3 Enseres de refrigeración,SI,2024-01-25,9312,CAFETERA INDUSTRIAL,15.8,Gestionado por Reconecta,Aprovechamiento,REP-86-9312,Eco Industria SAS,Parque Industrial San Jorge,CENTRO COMERCIAL PORTAL 80,830143447-3,Ana Maria Suarez,test@portal80.com.co,Transversal 100A # 80A-20,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,NO,2024-01-25,9400,CAMARA DE SEGURIDAD,2.4,Centro de Acopio,Aprovechamiento,REP - 7 - 9400,Eco Industria SAS,Parque Industrial San Jorge,INVERSISA SAS - MR BONO,900403670-1,DANIEL ARRIETA V.,test@mrbono.co,Carrera 11 # 93-94,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,NO,2024-01-25,9400,DVR DE VIGILANCIA,4.2,Centro de Acopio,Aprovechamiento,REP - 7 - 9400,Eco Industria SAS,Parque Industrial San Jorge,INVERSISA SAS - MR BONO,900403670-1,DANIEL ARRIETA V.,test@mrbono.co,Carrera 11 # 93-94,"BOGOTA, D. C.","BOGOTA, D. C."
2. Electrónica y Equipos de Telecomunicación,2.7 Equipos de instrumentación y control,NO,2024-01-25,9400,SENSOR DE MOVIMIENTO,0.5,Centro de Acopio,Aprovechamiento,REP - 7 - 9400,Eco Industria SAS,Parque Industrial San Jorge,INVERSISA SAS - MR BONO,900403670-1,DANIEL ARRIETA V.,test@mrbono.co,Carrera 11 # 93-94,"BOGOTA, D. C.","BOGOTA, D. C."
3. Maquinaria y Equipo Eléctrico,3.4 Equipos de iluminación,SI,2024-01-25,9313,LUMINARIA LED INDUSTRIAL,5.8,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9313,Eco Industria SAS,Parque Industrial San Jorge,MTS CONSULTORIA + GESTION SAS,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,Calle 85 # 11-30,"BOGOTA, D. C.","BOGOTA, D. C."
